Libellé,Brasserie,Volume,Type,% ABV,Prix unitaire TTC,Mois bière du mois,Description,
Houleuse,Docteur Gab's,330,1,5,4.00000000,,,
Chameau,Docteur Gab's,330,4,7,4.00000000,,,
IPAnema,Docteur Gab's,330,5,6,4.00000000,,,
Pépite,Docteur Gab's,330,"2,9",4.8,4.00000000,,,
Tempête,Docteur Gab's,330,"2,8",8,4.00000000,,,
Ténébreuse,Docteur Gab's,330,"6,7",6,4.00000000,,,
Boxer Old,Boxer,250,2,5.2,1.00000000,,La classique boxer qui n'est plus à présenter !,
La Chouffe,Achouffe,330,2,8,3.00000000,,,
Wittekop,Wittekop,330,1,4.5,2.00000000,,,
Hoegaarden,Hoegaarden,250,1,4.9,2.00000000,,"Blanche délicieuse et facile, un ultra-classique. Pour ceux qui veulent se détendre sans réfléchir.",
La Fin Du Monde,Unibroue,341,8,9,3.00000000,,,
Maudite,Unibroue,341,13,8,3.00000000,,,
Leffe Brune,Leffe,330,3,6.5,3.00000000,,,
Leffe Blonde,Leffe,330,2,6.6,3.00000000,,,
Leffe Vieille Cuvée,Leffe,330,4,8.2,3.00000000,,,
Dead Pony Club,Brewdog,330,9,3.8,3.00000000,,,
Punk IPA,Brewdog,330,14,5.6,3.00000000,,,
Farmer blanche,Landi,500,1,5.3,1.00000000,,,
Farmer blonde,Landi,500,2,4.5,1.00000000,,,
Nestea Peach,,330,50,0,1.00000000,,,
Nestea Lemon,,330,50,0,1.00000000,,,
Coca Cola,,330,50,0,1.00000000,,,
Red Bull,,330,50,,2.00000000,,,
Crafty,Docteur Gab's,330,10,5,4.00000000,,,
Swaf,Docteur Gab's,330,2,4.8,2.00000000,,,
La Blanche,Brasserie du Jorat,330,1,5.5,3.00000000,2017-10-02,,
L'ambrée,Brasserie du Jorat,330,4,6,3.00000000,2017-10-02,,
La Noire,Brasserie du Jorat,330,7,5.5,3.00000000,2017-10-02,,
Westmalle Triple,Abbaye des Trappistes de Westmalle,330,"2,11",9.5,3.00000000,,,
Lindemans Kriek,Lindemans,240,24,3.5,2.00000000,,,
Blonde de Chambly,Unibroue,330,2,5,3.00000000,,,
King Pin,Brewdog,330,16,4.7,3.00000000,,,
Jack Hammer,Brewdog,330,5,7.2,3.00000000,,,
Nanny State,Brewdog,330,19,0.5,3.00000000,,,
Erdinger Weissbier,Erdinger Weissbräu,330,1,5.3,2.00000000,,,
Blue Moon blanche,Blue Moon,330,1,5.4,3.00000000,,,
Kwak,Bosteels,330,28,8.4,3.00000000,,,
Karmeliet,Bosteels,330,8,8.4,3.00000000,,,
Bière du Sorcier,Bière du Sorcier,330,"19,30",5,3.00000000,,,
Faro,Lindemans,25,24,4.5,2.00000000,,,
Tennent's,Tennent Caledonian,330,32,6,3.00000000,,,
Millefleur,Le Rouget de L'isle,330,"2,33",6.4,3.00000000,,,
Fourche du Diable,Le Rouget de L'isle,330,33,6,3.00000000,,,
Vieux Tuyé,Le Rouget de L'isle,330,34,6,3.00000000,,,
Blanche des Plateaux,Le Rouget de L'isle,330,1,4.8,3.00000000,,,
La Pépie,La Challensoise,330,2,5,3.00000000,2018-02-17,,
La Tiaffe,La Challensoise,330,1,4.5,3.00000000,2018-02-17,,
La Pèdze,La Challensoise,330,4,6,3.00000000,2018-02-17,,
La Vigousse,La Challensoise,330,9,5.5,3.00000000,2018-02-17,,
La Murgée,La Challensoise,330,5,6.2,3.00000000,2018-02-17,,
